,Name,Processor,RAM,Operating System,Display Size,Warranty,Price,Rating,Brand,SSD,HDD,disk_drive,Ram,p_brand,Cores,processor_type,OS,display,touchscreen,graphic_card,Generation
831,Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Lap...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,18990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
832,DELL Inspiron Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5625 Notebook,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Display,1 Year Onsite Warranty,73890,5.0,DELL,512,0,SSD,16,AMD,7,Ryzen 7,Windows,16.0,No,No,0
833,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,63990,4.6,ASUS,512,0,SSD,16,AMD,7,Ryzen 7,Windows,15.6,No,No,0
834,ASUS Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP3404VAKN543WS 2 in 1 Laptop,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Warranty,112442,4.4,ASUS,512,0,SSD,16,Intel,5,i5,Windows,14.0,Yes,No,13
835,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15IAU7 Thin...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,93.01 cm (36.62 cm) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,39990,3.9,Lenovo,512,0,SSD,8,Intel,3,i3,Windows,36.62,No,No,12
836,ASUS Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 6GB RTX 3060)...,Intel Core i9 Processor (12th Gen),32 GB DDR5 RAM,Windows 11 Operating System,40.64 cm (16 inch) Display,1 Year International Warranty,185000,4.4,ASUS,1,0,SSD,32,Intel,9,i9,Windows,16.0,No,Yes,12
837,acer Swift X Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050T...,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty,114990,4.2,acer,1,0,SSD,16,Intel,7,i7,Windows,16.1,No,Yes,11
838,HP Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1560AU Thin and Light Laptop,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,39490,4.3,HP,512,0,SSD,8,AMD,2,Ryzen 3,Windows,15.6,No,No,0
839,Lenovo IdeaPad 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Lapt...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,52990,4.3,Lenovo,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,No,11
840,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) Gaming...,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,95225,4.1,DELL,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,Yes,12
841,Lenovo Yoga Slim 7 Intel Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14IIL05 Th...,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,3 Years Warranty + 1 Year Premium Care + 1 Year ADP,70990,3.9,Lenovo,512,0,SSD,8,Intel,5,i5,Windows,14.0,No,Yes,10
842,Lenovo Ryzen 3 Quad Core - (8 GB/512 GB SSD/DOS) 21A4A08XIH Laptop,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,DOS Operating System,39.62 cm (15.6 inch) Display,1 year Domestic Warranty,34480,4.1,Lenovo,512,0,SSD,8,AMD,4,Ryzen 3,DOS,15.6,No,No,0
843,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,16990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
844,acer Swift X Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) SFX16-51G Laptop,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,40.89 cm (16.1 inch) Display,1 Year International Travelers Warranty (ITW),94990,4.2,acer,512,0,SSD,16,Intel,5,i5,Windows,16.1,No,Yes,11
845,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5001TU Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,61000,3.9,HP,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,No,12
846,HP intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,24990,3.7,HP,0,0,Not available,4,Intel,2,Celeron,Chrome,14.0,Yes,No,0
847,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,33990,4.2,Lenovo,256,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
848,DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,38.1 cm (15 inch) Display,1 Year Onsite Warranty,37490,4.4,DELL,256,0,SSD,4,Intel,3,i3,Windows,15.0,No,No,10
849,ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ011T Thin and L...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 10 Operating System,29.46 cm (11.6 inch) Display,1 Year Onsite Warranty,18990,3.7,ASUS,0,0,Not available,4,Intel,2,Celeron,Windows,11.6,No,No,0
850,DELL Core i5 12th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Lig...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,60990,3.8,DELL,1,1,Both,8,Intel,5,i5,Windows,15.6,No,No,12
851,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,16990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
852,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 16 2-in-1 2 in 1 Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Touchscreen Display,1 Year Onsite Warranty,89490,4.1,DELL,512,0,SSD,8,Intel,5,i5,Windows,16.0,Yes,No,12
853,Lenovo Yoga Slim 7 Pro Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14IAP7 Thin and Light Lap...,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection,108990,4.1,Lenovo,512,0,SSD,16,Intel,7,i7,Windows,14.0,No,No,12
854,DELL XPS 13 Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) 9370 Thin and Light Laptop,Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,114990,1.7,DELL,512,0,SSD,16,Intel,7,i7,Windows,13.3,No,No,8
855,Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Lap...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,18990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
856,DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",40890,4.1,DELL,0,1,HDD,8,Intel,3,i3,Windows,15.6,No,No,10
857,Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 15IML05 Thin and L...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 10 Operating System,39.62 cm (15.6 Inch) Display,2 Years Warranty,52489,4.4,Lenovo,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,Yes,10
858,Infinix X1 Slim Series Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,39990,4.2,Infinix,512,0,SSD,8,Intel,5,i5,Windows,14.0,No,No,10
859,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15IAU7 Thin...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,93.01 cm (36.62 cm) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,39990,3.9,Lenovo,512,0,SSD,8,Intel,3,i3,Windows,36.62,No,No,12
860,Lenovo Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Flex 5 14ALC7 Laptop,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,63990,4.1,Lenovo,512,0,SSD,16,AMD,5,Ryzen 5,Windows,14.0,Yes,No,0
861,ASUS ZenBook 13 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4118T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB LPDDR3 RAM,64 bit Windows 10 Operating System,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,72150,4.1,ASUS,512,0,SSD,8,Intel,5,i5,Windows,13.3,No,No,8
862,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L5...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,59990,4.3,ASUS,1,1,Both,16,Intel,5,i5,Windows,15.6,No,No,11
863,Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,58990,4.1,Lenovo,512,0,SSD,16,Intel,5,i5,Windows,15.6,No,No,12
864,DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,38.1 cm (15 inch) Display,1 Year Onsite Warranty,37490,4.4,DELL,256,0,SSD,4,Intel,3,i3,Windows,15.0,No,No,10
865,DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",40890,4.1,DELL,0,1,HDD,8,Intel,3,i3,Windows,15.6,No,No,10
866,Lenovo Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Flex 5 14ALC7 Laptop,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,63990,4.1,Lenovo,512,0,SSD,16,AMD,5,Ryzen 5,Windows,14.0,Yes,No,0
867,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,16990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
868,Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 15IML05 Thin and L...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 10 Operating System,39.62 cm (15.6 Inch) Display,2 Years Warranty,52489,4.4,Lenovo,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,Yes,10
869,Infinix X1 Slim Series Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,39990,4.2,Infinix,512,0,SSD,8,Intel,5,i5,Windows,14.0,No,No,10
870,ASUS ZenBook 13 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4118T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB LPDDR3 RAM,64 bit Windows 10 Operating System,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,72150,4.1,ASUS,512,0,SSD,8,Intel,5,i5,Windows,13.3,No,No,8
871,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,33990,4.2,Lenovo,256,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
872,DELL Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Laptop,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,49852,4.1,DELL,256,0,SSD,8,AMD,2,Athlon,Windows,15.6,No,No,0
873,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L5...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,59990,4.3,ASUS,1,1,Both,16,Intel,5,i5,Windows,15.6,No,No,11
874,acer One 11 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) Z8-284 Thin and Light Laptop,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,29.46 cm (11.6 Inch) Display,1 Year Onsite Warranty,39283,4.2,acer,256,0,SSD,8,Intel,2,Celeron,Windows,11.6,No,No,0
875,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,16990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
876,Lenovo IdeaPad Gaming 3i Intel Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graph...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,1 Year Warranty + 1 Year Premium Care + 1 Year ADP,69490,4.4,Lenovo,1,1,Both,8,Intel,5,i5,Windows,15.6,No,No,10
877,Lenovo IdeaPad Flex 5 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Light...,Intel Core i3 Processor (12th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,60990,4.1,Lenovo,512,0,SSD,8,Intel,3,i3,Windows,14.0,Yes,No,12
878,ASUS Core i3 12th Gen - (8 GB/256 GB SSD/Windows 11 Home) X1502ZA-EJ302WS Laptop,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,41950,4.0,ASUS,256,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,12
879,Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Lap...,MediaTek MT8788,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,1 year walk-in warranty,18990,4.1,Primebook,0,0,Not available,4,MediaTek,0,MT,Prime,11.6,No,No,0
880,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,56990,3.8,ASUS,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,Yes,10
881,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX215-54 Notebook,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty,36990,4.2,acer,512,0,SSD,8,Intel,3,i3,Windows,15.6,No,No,11
882,DELL Vostro Ryzen 3 Quad Core 5425U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Lap...,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,39990,4.1,DELL,256,0,SSD,8,AMD,4,Ryzen 3,Windows,14.0,No,No,0
883,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15IAU7 Thin...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,93.01 cm (36.62 cm) Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,39990,3.9,Lenovo,512,0,SSD,8,Intel,3,i3,Windows,36.62,No,No,12
884,SAMSUNG Galaxy Book2 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) NP750XEE-XB1IN...,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,79990,4.1,SAMSUNG,512,0,SSD,8,Intel,5,i5,Windows,15.6,No,Yes,12
885,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,59990,4.1,DELL,512,0,SSD,8,Intel,5,i5,Windows,14.0,No,No,12
